Month,Year,Full-time,Part-time,Grand Total,Quarter,AirlineID
1,1990,4993,714,5707,1,AS
2,1990,5010,751,5761,1,AS
3,1990,5066,760,5826,1,AS
4,1990,5110,802,5912,2,AS
5,1990,5277,779,6056,2,AS
6,1990,5512,782,6294,2,AS
7,1990,5522,780,6302,3,AS
8,1990,5532,779,6311,3,AS
9,1990,5277,856,6133,3,AS
10,1990,5348,853,6201,4,AS
11,1990,5276,820,6096,4,AS
12,1990,5308,818,6126,4,AS
1,1991,5230,793,6023,1,AS
2,1991,5271,786,6057,1,AS
3,1991,5311,780,6091,1,AS
4,1991,5366,795,6161,2,AS
5,1991,5565,821,6386,2,AS
6,1991,5806,838,6644,2,AS
7,1991,5910,797,6707,3,AS
8,1991,5895,822,6717,3,AS
9,1991,5767,795,6562,3,AS
10,1991,5753,820,6573,4,AS
11,1991,5723,823,6546,4,AS
12,1991,5775,828,6603,4,AS
1,1992,5697,821,6518,1,AS
2,1992,5710,822,6532,1,AS
3,1992,5710,860,6570,1,AS
4,1992,5830,890,6720,2,AS
5,1992,6073,879,6952,2,AS
6,1992,6207,946,7153,2,AS
7,1992,6249,924,7173,3,AS
8,1992,6177,930,7107,3,AS
9,1992,6051,877,6928,3,AS
10,1992,5993,884,6877,4,AS
11,1992,5854,879,6733,4,AS
12,1992,5729,882,6611,4,AS
1,1993,5729,882,6611,1,AS
2,1993,5417,886,6303,1,AS
3,1993,5534,847,6381,1,AS
4,1993,5470,859,6329,2,AS
5,1993,5757,923,6680,2,AS
6,1993,5966,869,6835,2,AS
7,1993,6009,871,6880,3,AS
8,1993,5868,862,6730,3,AS
9,1993,5688,812,6500,3,AS
10,1993,5407,790,6197,4,AS
11,1993,5410,819,6229,4,AS
12,1993,5424,806,6230,4,AS
1,1994,5444,804,6248,1,AS
2,1994,5577,730,6307,1,AS
3,1994,5624,744,6368,1,AS
4,1994,5671,752,6423,2,AS
5,1994,5897,841,6738,2,AS
6,1994,6077,875,6952,2,AS
7,1994,6131,888,7019,3,AS
8,1994,6162,839,7001,3,AS
9,1994,6041,830,6871,3,AS
10,1994,6076,841,6917,4,AS
11,1994,6074,843,6917,4,AS
12,1994,6077,847,6924,4,AS
1,1995,6072,831,6903,1,AS
2,1995,6091,809,6900,1,AS
3,1995,6091,868,6959,1,AS
4,1995,6075,851,6926,2,AS
5,1995,6300,927,7227,2,AS
6,1995,6358,1023,7381,2,AS
7,1995,6406,1044,7450,3,AS
8,1995,6407,993,7400,3,AS
9,1995,6403,972,7375,3,AS
10,1995,6415,946,7361,4,AS
11,1995,6475,930,7405,4,AS
12,1995,6515,953,7468,4,AS
1,1996,6524,971,7495,1,AS
2,1996,6630,908,7538,1,AS
3,1996,6695,894,7589,1,AS
4,1996,6685,949,7634,2,AS
5,1996,6837,979,7816,2,AS
6,1996,7081,1053,8134,2,AS
7,1996,7141,1051,8192,3,AS
