YEAR,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ENTITY,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
1990,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,D,452,957,0,1601,363,0,1130,48,3133,0,21,281,34,220,0,8267
1990,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,A,0,0,0,0,0,0,26,0,400,2,0,0,64,0,0,492
1990,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,D,44,6974,0,12608,6156,0,6364,354,13955,10173,733,3782,719,1988,0,63850
1990,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,L,0,0,0,0,0,0,81,0,145,163,0,0,16,0,0,405
1990,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,P,0,0,0,0,0,0,2,0,35,0,0,0,6,1,0,44
1990,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,A,0,0,0,0,0,0,321,0,731,230,0,57,0,1,0,1340
1990,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,D,40,6605,1501,14894,10515,0,4443,760,14663,13345,483,7408,607,4911,0,80175
1990,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,L,11,0,0,588,45,0,574,0,1549,1061,0,119,10,15,0,3972
1990,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,P,0,0,0,0,0,0,52,0,117,11,0,13,0,0,0,193
1990,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,A,0,44,7,177,50,0,15,2,26,7,6,31,4,152,0,521
1990,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,D,33,3895,1352,8974,6124,0,4564,446,9199,5991,490,2765,506,11328,0,55667
1990,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,P,11,919,583,4009,1490,0,613,85,991,443,134,724,283,3706,0,13991
1991,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,D,508,1099,0,1813,411,0,1316,51,3446,0,22,298,39,245,0,9277
