NET_INCOME,OP_PROFIT,OP_REVENUE_SCH_PAX,OP_REVENUE_SCH_OTH,OP_REVENUE_NON_SCH,OP_REVENUE_PUB_SVC,OP_REVENUE_OTHER,OP_REVENUE,OP_EXPENSE_FLYING,OP_EXPENSE_MAINT,OP_EXPENSE_ADMIN,DEPR_PR_EQ_OWNED,DEPR_PR_EQ_LEASED,TRANS_EXPENSE,OP_EXPENSE,NON_OP_INT_EXP,NON_OP_EXP_OTH,TAX,EXTRA_ITEMS,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-3607.01,-3613.85,5505.43,313.3,1429.52,0.0,9.07,6944.02,4271.9,1629.3,3234.5,197.82,1422.18,12.41,10557.87,-35.6,6.84,0.0,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,4
-3534.06,-1702.28,1338.85,313.3,1921.7,0.0,3.8,3264.35,1872.2,1367.85,1328.76,197.82,397.82,12.41,4966.63,-126.54,297.06,0.0,-2002.31,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,4
-3201.09,-3216.83,4334.5,313.3,5319.86,0.0,76.41,5319.86,4526.75,2069.23,1940.71,197.82,315.32500000000005,12.41,8536.69,-35.6,15.73,0.0,0.0,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,4
-2071.26,-2086.3,1510.99,313.3,4779.93,0.0,7.24,6298.16,3153.04,1935.57,2063.44,197.82,1232.41,12.41,8384.46,-35.6,15.04,0.0,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,2
-2050.26,-808.81,3800.44,313.3,8645.9,0.0,691.81,13138.15,4210.39,2648.87,5311.79,197.82,1775.92,12.41,13946.97,-176.7,5.98,0.0,-1064.74,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,4
-1408.69,-1396.59,1304.96,313.3,1688.43,0.0,0.7,2994.1,1518.67,931.14,1060.55,197.82,880.33,12.41,4390.69,-35.6,-11.3,0.8,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,2
-703.84,-704.18,4334.5,313.3,931.07,0.0,76.41,931.07,975.12,466.97,178.17,15.0,315.32500000000005,12.41,1635.25,-35.6,0.34,0.0,0.0,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1998,4
-677.46,-679.17,4334.5,313.3,1671.8,0.0,76.41,1671.8,1396.25,448.12,476.71,29.88,315.32500000000005,12.41,2350.97,-35.6,1.7,0.0,0.0,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,2
-362.06,-2351.22,5680.29,313.3,899.33,0.0,12.72,6592.34,3223.27,1308.82,4341.51,69.97,315.32500000000005,12.41,8943.57,-35.6,1802.65,-186.52,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1993,2
73.62,177.63,2147.08,313.3,7435.5,0.0,360.25,9942.83,3859.6,1480.55,3057.78,197.82,1367.28,12.41,9765.2,-103.21,5.98,0.8,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,2
312.08,-1129.54,8904.4,313.3,256.73,0.0,5.98,9167.12,3804.28,1574.7,4857.36,60.32,315.32500000000005,12.41,10296.65,-35.6,1602.38,160.77,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1993,4
575.66,388.07,14190.61,313.3,19.67,0.0,38.97,14249.25,4658.06,2142.6,6927.83,132.69,315.32500000000005,12.41,13861.19,-35.6,484.83,297.23,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1994,2
735.98,1129.57,14976.57,313.3,15616.03,0.0,4335.2,34927.79,10938.25,6117.25,14396.68,197.82,2346.05,12.41,33798.23,-696.67,303.08,0.0,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2003,4
784.04,300.28,6544.36,313.3,10953.1,0.0,1738.27,19235.73,5955.87,3009.9,7769.29,197.82,2200.39,12.41,18935.45,-134.15,618.7,0.8,0.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2003,2
846.2,-2198.87,5636.39,313.3,668.11,0.0,76.41,6304.5,2993.91,1302.35,4145.35,61.77,315.32500000000005,12.41,8503.38,-3.48,3484.48,435.92,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1992,4
1186.76,1412.18,19384.99,313.3,5735.475,0.0,1465.93,20850.91,7128.04,3426.58,8763.73,120.39,315.32500000000005,12.41,19438.74,-35.6,87.29,312.7,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1994,4
