NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
229.0,5127.24,31262.61,0.0,8719.24,0.0,5391.24,3343.6400000000003,0.0,0.0,1330.565,1165.54,6271.4,0.0,347.69,44438.47,24927.64,2308.38,1804.38,5743.49,2569.46,1732.8,0.0,225.09,0.0,39311.23,-2500.87,214.49,-9.22,0.0,0.0,-227.73,-2523.33,2603.91,1098.27,1505.64,0.0,0.0,0.0,273.195,1505.64,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2011,1
229.0,5438.19,27989.78,0.0,8719.24,0.0,5551.31,3343.6400000000003,0.0,0.0,1330.565,994.98,9157.83,0.0,324.37,44018.27,24750.21,2134.7,1788.79,5151.12,2325.87,2154.38,0.0,275.03,0.0,38580.09,-78.77,139.37,-6.24,0.0,0.0,0.0,54.37,5492.55,2072.71,3419.85,0.0,0.0,0.0,273.195,3419.85,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2012,1
229.0,5812.67,31849.75,0.0,8719.24,0.0,5718.4,3343.6400000000003,0.0,0.0,1330.565,1053.04,6840.77,0.0,345.46,45807.41,26597.43,1918.55,1684.75,5206.78,2336.36,2039.16,0.0,211.72,0.0,39994.74,-1467.82,184.23,-12.67,0.0,0.0,-139.06,-1435.32,4377.35,1560.36,2816.99,0.0,0.0,0.0,273.195,2816.99,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2011,2
229.0,6109.28,28663.54,0.0,8719.24,0.0,5872.2,3343.6400000000003,0.0,0.0,1330.565,979.36,9730.22,0.0,318.45,45563.77,24752.41,2550.85,2083.05,1198.9,732.05,7359.33,0.0,777.9,0.0,39454.49,0.0,15.37,-12.38,0.0,0.0,-1.06,1.92,6111.2,2353.02,3758.18,0.0,0.0,0.0,273.195,3758.18,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3.0,3.0,2013,1
229.0,7278.23,31411.63,0.0,8719.24,0.0,6370.25,3343.6400000000003,0.0,0.0,1330.565,993.09,11022.65,0.0,351.75,50149.37,27603.97,3076.09,1837.02,6557.27,2416.5,1161.27,0.0,219.02,0.0,42871.14,-1.48,26.53,-15.9,0.0,0.0,0.0,9.15,7287.38,2762.91,4524.47,0.0,0.0,0.0,273.195,4524.47,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2012,3
229.0,7663.4,31180.26,0.0,8719.24,0.0,6121.01,3343.6400000000003,0.0,0.0,1330.565,951.86,9548.84,0.0,334.87,48136.83,25686.11,2603.39,1680.07,5675.19,2293.79,2323.84,0.0,211.03,0.0,40473.43,-110.36,135.32,-11.7,0.0,0.0,0.0,13.26,7676.67,2868.58,4808.09,0.0,0.0,0.0,273.195,4808.09,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2012,2
229.0,7708.22,34077.98,0.0,8719.24,0.0,6376.45,3343.6400000000003,0.0,0.0,1330.565,1140.33,8015.72,0.0,336.97,49947.44,27231.96,2714.6,1786.77,5733.77,2674.57,1880.75,0.0,216.82,0.0,42239.23,-76.76,93.82,-6.98,0.0,0.0,0.0,10.08,7718.29,2933.46,4784.83,0.0,0.0,0.0,273.195,4784.83,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2011,3
229.0,10758.39,32364.76,0.0,8719.24,0.0,6323.66,3343.6400000000003,0.0,0.0,1330.565,898.18,10342.45,0.0,299.7,50228.75,24366.53,2599.49,1533.19,2505.52,1970.73,5562.67,0.0,932.24,0.0,39470.37,0.0,9.59,-12.7,0.0,0.0,-3.11,-3.11,10755.28,4034.0,6721.28,0.0,0.0,0.0,273.195,6721.28,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3.0,3.0,2013,3
-10256486.0,-147225.0,1936705.0,15052.0,32941.0,26827.0,6114.0,6851.0,6851.0,165.995,78209.0,70533.0,7676.0,0.0,815598.0,2885356.0,895443.0,308460.0,185837.0,386756.0,221115.0,97581.0,228.6,150024.0,787365.0,3032581.0,-75370.0,-2551.0,1169.0,9004.0,0.0,-10041513.0,-10109261.0,-10256486.0,4.87,-10256486.0,0.0,0.0,0.0,-10256486.0,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3.0,3.0,2005,4
-4572596.01,-2908378.0,412343.0,5264.0,8719.24,14930.0,23905.0,3343.6400000000003,7101.0,44917.0,1330.565,20027.0,184832.0,0.0,494562.0,1207881.0,1156551.0,204428.0,300142.0,661741.0,169003.0,259661.0,228.6,505064.0,859669.0,4116259.0,-150658.0,5327.0,-4092.0,-1032.0,-640750.0,-1860117.01,-2651322.01,-5559700.01,-987104.0,-4572596.01,0.0,0.0,0.0,273.195,0.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3.0,3.0,2020,2
