YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
1990,1,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,6997.0,832.0,7829,7413
1990,1,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2416.0,477.0,2893,2655
1990,1,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,56340.0,4226.0,60566,58453
1990,1,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,68137.0,9039.0,77176,72657
1990,1,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,65664.0,5457.0,71121,68393
1990,2,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,6996.0,833.0,7829,7413
1990,2,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2476.0,469.0,2945,2711
1990,2,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,56413.0,4184.0,60597,58505
1990,2,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,68725.0,9273.0,77998,73362
1990,2,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,65839.0,5446.0,71285,68562
1990,3,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,7090.0,833.0,7923,7507
1990,3,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2557.0,573.0,3130,2844
1990,3,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,56700.0,4117.0,60817,58759
1990,3,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,69509.0,9376.0,78885,74197
1990,3,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,66070.0,5445.0,71515,68793
1990,4,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,7772.0,173.0,7945,7859
1990,4,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2468.0,460.0,2928,2698
1990,4,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,56630.0,4112.0,60742,58686
1990,4,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,69713.0,9326.0,79039,74376
1990,4,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,66779.0,5518.0,72297,69538
1990,5,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8049.0,164.0,8213,8131
1990,5,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2467.0,463.0,2930,2699
1990,5,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,56932.0,4156.0,61088,59010
1990,5,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,70376.0,9309.0,79685,75031
1990,5,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,67217.0,5675.0,72892,70055
1990,6,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8224.0,165.0,8389,8307
1990,6,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2473.0,445.0,2918,2696
1990,6,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,57478.0,4197.0,61675,59577
1990,6,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,71258.0,9369.0,80627,75943
1990,6,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,67924.0,5978.0,73902,70913
1990,7,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8297.0,157.0,8454,8376
1990,7,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2483.0,474.0,2957,2720
1990,7,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58200.0,4377.0,62577,60389
1990,7,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,72018.0,9651.0,81669,76844
1990,7,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,68331.0,5966.0,74297,71314
1990,8,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8310.0,150.0,8460,8385
1990,8,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2436.0,461.0,2897,2667
1990,8,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58220.0,4433.0,62653,60437
1990,8,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,72513.0,9694.0,82207,77360
1990,8,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,68431.0,5992.0,74423,71427
1990,9,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8325.0,152.0,8477,8401
1990,9,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2365.0,379.0,2744,2555
1990,9,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,57844.0,4433.0,62277,60061
1990,9,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,72776.0,9788.0,82564,77670
1990,9,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,68472.0,5714.0,74186,71329
1990,10,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8416.0,142.0,8558,8487
1990,10,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2331.0,362.0,2693,2512
1990,10,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58190.0,4433.0,62623,60407
1990,10,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73111.0,9737.0,82848,77980
1990,10,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,68640.0,5668.0,74308,71474
1990,11,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8463.0,137.0,8600,8532
1990,11,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2323.0,351.0,2674,2499
1990,11,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,57989.0,4450.0,62439,60214
1990,11,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73171.0,9492.0,82663,77917
1990,11,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69091.0,5681.0,74772,71932
1990,12,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8486.0,134.0,8620,8553
1990,12,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2294.0,346.0,2640,2467
1990,12,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58413.0,4500.0,62913,60663
1990,12,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73726.0,9507.0,83233,78480
1990,12,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69277.0,5748.0,75025,72151
1991,1,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8503.0,137.0,8640,8572
1991,1,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2270.0,353.0,2623,2447
1991,1,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58446.0,4531.0,62977,60712
1991,1,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73867.0,9426.0,83293,78580
1991,1,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69448.0,5657.0,75105,72277
1991,2,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8667.0,134.0,8801,8734
1991,2,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2260.0,356.0,2616,2438
1991,2,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,58938.0,4608.0,63546,61242
1991,2,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3.0,73490.0,9934.0,83424,78457
1991,2,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3.0,69460.0,5661.0,75121,72291
1991,3,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3.0,8671.0,135.0,8806,8739
1991,3,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2.0,2260.0,355.0,2615,2438
1991,3,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3.0,59285.0,4794.0,64079,61682
