PILOTEXPENSE,AIRCRAFT_FUEL,OTHER_EXPENSES,TOTAL_DIRECT_LESS_RENT,MAINTENANCE,DEPAND_RENTAL,TOTAL_DIRECT,FLIGHT_ATTENDANTS,TRAFFIC,DEPARTURE,CAPACITY,TOTAL_INDIRECT,TOTAL_OP_EXPENSE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,18.0,24.04,25.07,153.1,220.21,1635.25,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1998,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,110.32,25.25,182.51,314.01,632.09,2350.97,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,162.45,71.59,234.14,754.82,1223.0,4390.69,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,232.97,90.76,278.74,959.26,1561.73,4966.63,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,311.6,1848.31,1362.44,937.89,4460.24,8943.57,0.23,0.11,115.645,9,9,999,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1993,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,312.91,865.47,1588.49,2191.08,4957.94,10296.65,0.23,0.11,115.645,9,9,999,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1993,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,324.98,124.8,784.91,1153.74,2388.42,8384.46,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,371.4,1761.75,1441.1,649.63,4223.88,8503.38,0.23,0.11,115.645,9,9,999,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1992,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,387.92,134.05,1339.3,1584.44,3445.7,9765.2,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,401.86,89.4,1355.87,1789.23,3636.36,10557.87,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,4
