SALARIES_MGT,SALARIES_FLIGHT,SALARIES_MAINT,SALARIES_TRAFFIC,SALARIES_OTHER,SALARIES,BENEFITS_PERSONNEL,BENEFITS_PENSIONS,BENEFITS_PAYROLL,BENEFITS,SALARIES_BENEFITS,AIRCRAFT_FUEL,MAINT_MATERIAL,FOOD,OTHER_MATERIALS,MATERIALS_TOTAL,ADVERTISING,COMMUNICATION,INSURANCE,OUTSIDE_EQUIP,COMMISIONS_PAX,COMMISSIONS_CARGO,OTHER_SERVICES,SERVICES_TOTAL,LANDING_FEES,RENTALS,DEPRECIATION,AMORTIZATION,OTHER,TRANS_EXPENSE,OP_EXPENSE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-11700.34,141341.69,58099.2,101604.78,146789.17,436134.51,32673.16,154459.81,27097.83,214230.79,650365.3,687863.24,44549.5,38075.38,23736.98,794225.1,18789.51,11026.12,8062.58,178831.54,12173.85,34.68,364678.35,593596.63,47541.64,171041.64,87795.76,29909.75,27289.34,932210.28,3333975.44,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3.0,3.0,2011,4
-7408.07,147546.51,59641.98,109443.89,158434.1,467658.41,35238.34,122946.97,33190.68,191375.99,659034.4,750799.54,50168.08,41340.75,14705.57,857013.94,10565.62,10826.39,8982.59,163043.29,13004.66,23.64,291128.09,497574.29,51888.52,147327.0,80421.1,31039.95,30717.32,1015639.58,3370656.1,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3.0,3.0,2011,3
-5814.05,76193.33,11046.24,16001.52,36296.59,133723.63,14110.5,67752.33,7341.96,89204.79,222928.41,383810.01,16884.24,23368.36,9596.38,433658.98,7278.1,22330.31,3935.66,48170.42,6178.52,351.55,21116.21,109360.77,22079.79,22883.97,57839.52,12445.67,12016.24,34103.77,927317.12,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3.0,3.0,2011,4
-4351.54,57482.69,7289.9,10923.01,30370.32,101714.38,12222.4,49656.52,7550.89,69429.81,171144.19,293436.69,15903.18,23067.78,6542.82,338950.48,5338.01,25022.47,3045.68,38485.34,3875.23,258.5,29887.1,105912.32,12024.73,23279.55,40059.07,8755.66,9275.37,37682.71,747084.08,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3.0,3.0,2011,4
-3477.0,286017.0,48265.0,243081.0,84130.0,658016.0,43682.0,266765.0,35986.0,346433.0,1004449.0,283494.0,70631.0,83624.0,27867.0,465616.0,59674.0,16057.0,8931.0,19634.0,216000.0,5140.0,181053.0,506489.0,41965.0,213255.0,116449.0,11021.0,20988.0,9826.0,2390058.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3.0,3.0,1993,4
-3333.57,73703.53,10807.53,11933.37,52321.85,145432.71,14172.47,59149.54,8231.88,81553.89,226986.6,397199.69,13007.46,25924.38,5078.27,441209.8,2745.52,20830.16,3927.42,35455.02,13752.76,440.49,31208.72,108360.08,24691.12,23860.63,50682.36,11614.72,10953.31,21881.09,920239.71,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3.0,3.0,2011,3
-2881.92,66030.26,8095.45,8575.89,46595.05,126414.74,13038.87,47989.19,9040.99,70069.05,196483.79,336524.02,12854.1,30126.28,3534.48,383038.88,2241.1,31913.91,3543.14,27274.81,6398.05,300.76,37862.92,109534.7,17031.96,22999.68,39251.9,9725.4,10541.88,36339.61,824947.78,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3.0,3.0,2011,3
-1829.16,147058.56,48237.49,101137.58,111200.45,405804.91,29182.57,158908.87,50189.82,238281.26,644086.17,708319.19,42119.57,36944.77,7449.83,794833.36,7547.97,12203.75,8446.79,158057.46,17209.34,21.41,208189.87,411676.59,54765.75,163971.24,81896.3,29769.81,13982.53,1050597.07,3245578.81,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3.0,3.0,2011,2
-1048.46,13622.54,2792.09,4124.29,9014.58,28505.04,2938.14,12829.94,1896.48,17664.55,46169.59,65595.97,3399.47,2760.77,1699.58,73455.79,1247.62,4770.45,726.06,13525.43,982.25,2.4,9236.95,30491.16,3303.5,6117.61,9075.88,2113.55,2562.83,5343.22,178633.12,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3.0,3.0,2011,4
-827.99,64941.65,12685.21,16151.32,42680.98,135631.16,13997.26,53506.7,17211.14,84715.11,220346.26,345592.93,10917.35,28514.2,2374.18,387398.67,3230.44,19400.18,3498.46,35122.79,11667.82,468.26,62570.89,135958.83,19401.05,24176.91,47152.18,12077.31,5770.42,11503.39,863785.02,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3.0,3.0,2011,2
