AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76,0.0,0.0,20.76,-0.03,0.0,0.0,-0.03,-0.01,0.0,0.0,0.0,20.72,0.0,0.0,0.0,20.72,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3,3,2020,2
697.0,135.0,1.0,2.0,138.0,145.0,6.0,26.0,177.0,94.0,5.0,5.0,104.0,31.0,1.0,1.0,33.0,11.0,0.0,0.0,11.0,62.0,0.0,2.0,10.0,1287.0,14.0,39.0,53.0,580.0,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3,3,2020,2
1561.78,169.96,61.71,0.0,231.67,12.18,7.8,410.07,430.05,625.73,37.88,222.31,885.91,502.25,0.0,10.07,512.32,50.96,0.0,93.22,144.19,439.02,2.18,24.49,744.73,4998.09,0.0,21.77,21.77,2691.58,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3,3,2011,3
1567.11,272.74,96.54,104.62,473.89,56.75,79.34,128.05,264.14,903.59,0.0,0.0,903.59,196.11,0.0,0.0,196.11,41.61,0.0,0.0,41.61,293.15,2.74,32.12,1.54,3818.39,0.0,42.41,42.41,2249.75,20409,B6,JetBlue Airways,B6,JetBlue Airways,10875,A,3,3,2021,3
1872.12,351.47,132.12,123.76,607.35,102.74,50.37,25.92,179.02,253.74,91.4,180.53,525.67,346.88,0.5,121.25,468.63,1611.5,17.0,192.78,192.78,314.13,1.73,48.45,43.5,4286.88,6.43,27.08,33.51,2371.26,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1998,2
1875.79,362.02,114.71,124.44,601.17,104.52,52.69,28.49,185.69,254.03,85.97,189.66,529.66,332.33,0.2,111.75,444.28,1611.5,17.0,146.1,146.1,275.35,1.75,49.26,34.92,4160.85,3.1,13.78,16.87,2250.13,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1998,1
1893.7,382.77,124.05,125.28,632.09,86.68,45.95,25.53,158.15,284.74,94.13,195.78,574.64,354.38,0.23,152.24,506.84,1611.5,17.0,162.0,162.0,299.7,1.9,49.46,43.14,4490.87,138.29,30.96,169.25,2554.03,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1999,1
1905.17,372.45,137.3,125.7,635.44,82.28,40.37,33.05,155.69,268.08,89.83,194.9,552.82,355.78,0.18,138.49,494.46,1611.5,17.0,196.27,196.27,354.28,1.72,44.75,33.9,4521.42,107.6,39.33,146.93,2582.35,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1999,2
1926.48,390.08,131.39,123.84,645.31,73.31,37.33,29.94,140.57,295.67,90.33,190.98,576.98,306.95,0.24,149.25,456.44,1611.5,17.0,136.24,136.24,306.99,1.73,45.54,22.9,4400.76,108.15,33.43,141.57,2451.38,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1998,4
2138.76,428.55,151.6,150.55,730.7,92.79,46.29,35.21,174.29,300.9,108.95,210.23,620.08,340.66,0.48,147.09,488.23,1611.5,17.0,228.13,228.13,425.16,1.9,50.61,44.58,5020.62,82.08,36.1,118.18,2837.28,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,1998,3
