CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,5894.51,0.00,0.00,52.74,320.42,0.00,484.96,0.00,0.00,5279.34,12031.97,12772.28,0.00,0.00,0.00,0.00,12772.28,0.00,0.00,0.00,0.00,0.00,,1811.00,0.00,1811.00,1476.00,3287.00,-22325.42,-19038.42,0.00,-19038.42,5765.83,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,16039,I,1,1,2013,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,6513.51,0.00,0.00,57.36,320.42,0.00,489.92,0.00,0.00,5233.76,12614.97,12772.28,0.00,0.00,0.00,0.00,12772.28,0.00,0.00,0.00,0.00,0.00,,1811.00,0.00,1811.00,1476.00,3287.00,-22736.78,-19449.78,0.00,-19449.78,5937.47,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,16039,I,1,1,2013,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,0.00,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,1,1,2001,2
,,,3123.06,,3123.06,741.53,1311.02,8668.35,13843.96,,,,,64362.34,2137.08,26680.38,39819.04,,,,,,39819.04,,,,,,226.47,226.47,53889.47,,5274.95,,2346.58,14388.62,,,,,,,,8668.35,30678.50,18107.04,,,,1835.47,19942.51,,,,,,,1.00,,1.00,1114.00,1115.00,2153.47,3268.47,,3268.47,53889.47,20402,GL,Miami Air International,MMQ,Miami Air International,06690,D,1,1,2000,4
,,,3221.60,122.07,3099.53,3526.38,1584.55,3623.61,11834.07,,,,,77039.73,14140.29,35588.29,55591.73,248.35,,2672.07,81.36,56.37,58537.15,,,,,,5147.67,5147.67,75518.89,,,18971.99,444.54,475.81,23.81,919.67,1321.86,,405.43,,3997.14,14796.63,41356.88,,,169.70,3.95,325.91,499.56,10217.62,,,10217.62,,,9610.00,,9610.00,,9610.00,13834.84,23444.84,,23444.84,75518.89,20314,YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,06706,D,2,2,1993,1
,,,3674.81,234.95,3439.86,576.41,613.79,63.82,4693.88,183.84,,,183.84,4230.35,9649.61,1499.41,12380.55,,,14318.64,122.12,10.18,26811.13,115.00,,115.00,,,1570.48,1570.48,33374.33,72.93,,,6170.79,30.21,,669.21,589.50,,219.86,,,877.93,8630.44,,,,,,,,,,,,,,200.00,200.00,25358.49,25558.49,-814.60,24743.89,,24743.89,33374.33,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,06721,D,1,1,2007,1
,,,4169.38,219.02,3950.36,256.13,40.19,,4246.67,,,,,52815.61,1862.91,18789.06,35889.47,,,,633.26,142.48,36380.24,,,,,,500.00,500.00,41126.90,,,,5650.34,1334.76,42.99,874.34,293.43,,52.69,,,2107.95,10356.49,,30151.39,,488.84,,30640.23,-20.70,,482.21,461.52,,,,,,2056.40,2056.40,-2387.73,-331.33,,-331.33,41126.90,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,3
,,,4329.99,108.58,4221.41,-1.58,-176.84,,4042.99,,,,,63498.22,1918.06,28219.04,37197.25,,,,633.26,237.47,37593.04,,,,,,462.50,462.50,42098.53,,,,5579.56,169.55,54.20,1103.93,353.49,,94.15,,,3521.67,10876.54,,11914.78,,405.07,,12319.84,9.82,,,9.82,,,,,,3462.80,3462.80,15429.53,18892.33,,18892.33,42098.53,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2003,1
,,,4467.70,134.59,4333.11,1428.38,650.67,40.85,6452.99,108.49,,,108.49,21165.08,9569.78,21272.08,9462.78,,,,,,9462.78,3713.28,3713.28,,,,79.56,79.56,16103.83,1625.00,417.99,,1963.95,29.99,,650.24,328.02,15.71,124.16,,,1074.75,6229.79,2242.00,,,,,2242.00,,,,,,,200.00,,200.00,,200.00,7432.04,7632.04,,7632.04,16103.83,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,06721,D,1,1,2003,4
,,,4760.21,364.40,4395.80,153.69,8.98,,4558.47,,,,,50556.20,1912.84,14454.11,38014.93,,,,633.26,94.99,38553.19,,,,,,612.50,612.50,43724.16,,,,4694.54,935.04,42.99,502.98,200.93,,47.99,,,2812.52,9236.99,,37076.05,,520.54,,37596.59,-17.72,,500.00,482.28,,,,,,1518.30,1518.30,-5109.99,-3591.69,,-3591.69,43724.16,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2000,4
