CASH,NOTES_ACC_REC_NET,CURR_ASSETS_OTH,CURR_ASSETS,PROP_EQUIP_OWNED,DEPR_PROP_EQUIP,PROP_EQUIP_CAP_LS,AMORT_PR_EQ_CAP_LS,PROP_EQUIP,ASSETS_OTHER,ASSETS,NOTES_ACC_PAYABLE,ACCRUED_TAXES,CURR_LIAB_OTHER,CURR_LIABILITIES,LONG_TERM_DEBT,OTH_LIABILITIES,DEFERRED_CREDITS,PF_EQUITY,PF_SHARES_NUM,COM_EQUITY,COM_SHARES_NUM,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK,SH_HLD_EQUITY_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,112.50,112.50,,,,,,1.38,,,,,,,111.12,111.12,,111.12,112.50,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,1997,2
,,,,,,,,,367.09,367.09,,,,,,,,,,,,,367.09,367.09,,367.09,367.09,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06765,D,4,1,1998,2
,,,,,,,,,408.54,408.54,,,,,,,,,,,,,408.54,408.54,,408.54,408.54,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,1999,2
,,,,,,,,,79304.49,79304.49,,,,,,,,,,,,,79304.49,79304.49,,79304.49,79304.49,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,1999,4
,,,,,,,,,192287.00,192287.00,,,,,,,,,,,,,192287.00,192287.00,,192287.00,192287.00,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,2000,4
,,74.71,74.71,6006.39,2532.28,,,3474.11,,3548.82,,,605.84,605.84,,,,,,1.00,,,2941.98,2942.98,,2942.98,3548.82,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2005,2
,,127.50,127.50,1273.18,451.42,,,821.77,,949.27,1540.32,,45.94,1586.26,,,,,,1.00,-1.00,,-637.99,-636.99,,-636.99,949.27,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2001,4
,,167.67,167.67,405.91,119.32,,,286.59,417.49,871.74,2070.55,,78.36,2148.92,,,,,,1.00,,,-1278.17,-1277.17,,-1277.17,871.74,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2001,2
,,777.63,777.63,1273.18,800.55,,,472.63,,1250.26,,,97.90,97.90,,,,,,1.00,,,1151.36,1152.36,,1152.36,1250.26,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2002,2
,,2168.63,2168.63,1241.21,391.56,,,849.65,,3018.28,,,65.37,65.37,,,,,,1.00,,,2951.91,2952.91,,2952.91,3018.28,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2003,2
