YEAR,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ENTITY,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
1990,,,,WE,,L,7,23,3,0,23,0,67,6,0,96,0,15,10,31,0,281
1990,19385,RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,D,28,20,9,14,78,55,0,0,0,0,3,24,0,30,0,261
1990,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,A,1,240,0,473,191,0,343,7,141,83,15,145,16,130,0,1785
1990,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,D,35,3117,0,4185,2332,0,9028,219,2025,377,214,1959,255,1452,81,25279
1990,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,P,1,1140,0,2103,741,0,1279,74,1061,432,64,772,135,811,98,8711
1990,19392,RIQ,Rich International Airways,RIQ,Rich International Airways,I,8,10,6,21,10,8,0,0,0,0,1,4,0,5,0,73
1990,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,D,452,957,0,1601,363,0,1130,48,3133,0,21,281,34,220,0,8267
1990,19670,BF (1),Markair Inc.,BF,Markair Inc.,D,79,85,7,60,113,0,10,15,91,187,9,87,58,0,0,801
1990,19678,AQ,Aloha Airlines Inc.,AQ,Aloha Airlines Inc.,D,31,203,0,203,220,0,156,19,434,119,1,93,50,66,213,1808
1990,19687,QX,Horizon Air,QX,Horizon Air,D,4,468,0,108,282,0,72,180,458,36,35,82,103,0,0,1828
1990,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,A,0,88,0,224,201,0,27,2,66,67,4,38,0,93,0,810
1990,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,D,59,3321,0,4740,5548,0,1624,96,5333,2598,85,847,0,3446,0,27697
1990,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,L,0,221,0,237,411,0,98,6,322,154,4,45,0,166,0,1664
1990,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,P,0,378,0,816,819,0,139,8,369,310,14,136,0,393,0,3382
1990,19707,EA,Eastern Air Lines Inc.,EA,Eastern Air Lines Inc.,D,44,1133,716,3750,3371,0,290,71,5476,1527,68,891,5,1733,0,19075
1990,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,A,0,0,0,0,0,0,26,0,400,2,0,0,64,0,0,492
1990,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,D,44,6974,0,12608,6156,0,6364,354,13955,10173,733,3782,719,1988,0,63850
1990,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,L,0,0,0,0,0,0,81,0,145,163,0,0,16,0,0,405
1990,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,P,0,0,0,0,0,0,2,0,35,0,0,0,6,1,0,44
1990,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,A,0,0,0,0,0,0,321,0,731,230,0,57,0,1,0,1340
1990,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,D,40,6605,1501,14894,10515,0,4443,760,14663,13345,483,7408,607,4911,0,80175
1990,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,L,11,0,0,588,45,0,574,0,1549,1061,0,119,10,15,0,3972
1990,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,P,0,0,0,0,0,0,52,0,117,11,0,13,0,0,0,193
1990,19917,5X,United Parcel Service,5X,United Parcel Service,A,13,35,2,0,34,0,2,0,0,1,0,4,0,4,0,95
1990,19917,5X,United Parcel Service,5X,United Parcel Service,D,350,962,44,0,912,0,49,0,0,36,0,121,11,96,0,2581
1990,19917,5X,United Parcel Service,5X,United Parcel Service,L,3,9,0,0,8,0,0,0,0,0,0,1,0,1,0,22
1990,19917,5X,United Parcel Service,5X,United Parcel Service,P,9,26,1,0,26,0,1,0,0,1,0,3,0,3,0,70
1990,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,D,32,760,153,867,870,0,306,49,976,763,35,208,86,505,169,5779
1990,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,L,4,0,0,6,0,0,0,0,33,0,0,0,0,0,0,43
1990,19950,9R,Flagship Express Services,9R,Rosenbalm Aviation Inc.,A,6,41,2,0,42,0,0,0,0,0,0,0,0,13,0,104
1990,19950,9R,Flagship Express Services,9R,Rosenbalm Aviation Inc.,D,18,123,8,0,125,0,0,0,0,0,0,0,0,40,0,314
1990,19950,9R,Flagship Express Services,9R,Rosenbalm Aviation Inc.,P,7,48,0,0,49,0,0,0,0,0,0,0,0,15,0,119
1990,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,A,0,44,7,177,50,0,15,2,26,7,6,31,4,152,0,521
1990,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,D,33,3895,1352,8974,6124,0,4564,446,9199,5991,490,2765,506,11328,0,55667
1990,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,P,11,919,583,4009,1490,0,613,85,991,443,134,724,283,3706,0,13991
1990,19982,TB (1),USAir Shuttle,TB,Trump Shuttle,D,190,221,0,268,41,0,0,16,148,142,0,45,11,0,0,1082
1990,19983,ZN,Key Airlines Inc.,KEQ,Key Airlines Inc.,D,13,78,60,30,39,0,0,0,0,0,4,0,0,0,0,224
1990,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,D,18,1040,0,2615,873,0,2450,93,337,922,356,707,1717,1636,0,12764
1990,20042,SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,D,15,204,93,0,222,0,23,0,0,4,0,44,6,125,0,736
1990,20042,SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,I,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,6
1990,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Inc.,D,118,217,0,148,208,0,8,12,446,8,18,135,7,33,0,1358
1990,20057,EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,D,6,67,7,0,47,0,23,3,0,14,3,9,0,0,0,179
1990,20057,EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,P,12,142,16,0,100,0,50,5,0,31,0,20,0,0,0,376
1990,20084,APN,Aspen Airways Inc.,AP,Aspen Airways Inc.,D,27,18,20,231,34,5,0,0,0,0,0,7,6,23,3,374
1990,20088,FF,Tower Air Inc.,FF,Tower Air Inc.,A,8,48,220,0,0,0,73,0,0,0,0,31,13,73,0,466
1990,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,D,34,159,183,87,42,0,0,0,0,0,5,0,0,0,0,510
1990,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,I,2,28,10,4,5,0,0,0,0,0,0,0,0,0,0,49
1990,20107,FX,Federal Express Corporation,FM,Federal Express Corporation,A,51,213,25,14,119,0,197,151,0,1230,22,129,128,500,12548,15327
1990,20107,FX,Federal Express Corporation,FM,Federal Express Corporation,D,119,1407,162,79,1050,0,371,130,0,4418,135,567,886,2082,48770,60176
1990,20107,FX,Federal Express Corporation,FM,Federal Express Corporation,L,7,57,11,0,34,0,27,16,0,118,5,8,36,182,235,736
1990,20107,FX,Federal Express Corporation,FM,Federal Express Corporation,P,82,449,52,98,210,0,153,82,0,624,39,81,849,708,340,3767
1990,20108,NC,Northern Air Cargo Inc.,HU,Northern Air Cargo Inc.,D,16,54,0,0,79,50,0,0,0,0,0,13,3,9,0,224
1990,20149,PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,D,5,60,0,0,196,31,0,0,0,0,0,10,6,0,22,330
1990,20151,M6,Amerijet International,JH,Amerijet International,D,10,51,7,14,25,64,0,0,0,0,1,0,0,0,0,172
1990,20151,M6,Amerijet International,JH,Amerijet International,I,2,9,1,6,3,10,0,0,0,0,1,0,0,0,0,32
1990,20173,CDQ,Kitty Hawk International,CDQ,Connie Kalitta Services,D,4,137,58,13,161,29,0,0,0,0,9,16,0,27,0,454
1990,20211,TW,Trans World Airways LLC,TW,Trans World Airlines Inc.,A,2,1032,398,1995,1750,0,657,44,863,900,210,877,237,1777,430,11172
1990,20211,TW,Trans World Airways LLC,TW,Trans World Airlines Inc.,D,3,1180,456,4045,3892,0,3150,89,4135,1029,241,1002,272,2032,491,22017
1990,20218,JKQ,Express One International Inc.,JKQ,Express One International Inc.,D,18,40,0,14,12,4,0,0,0,0,1,2,0,5,1,97
1990,20251,OE,Westair Airlines Inc.,OE,Westair Airlines Inc.,D,6,639,17,192,250,0,8,39,555,6,51,125,36,124,0,2048
1990,20295,ML (1),Midway Airlines Inc. (1),ML,Midway Airlines Inc.,D,597,691,0,947,456,0,1190,67,528,69,0,247,78,256,45,5171
1990,20312,TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,A,14,132,52,348,295,0,25,36,45,8,13,127,23,94,0,1212
1990,20312,TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,D,11,100,39,262,223,0,19,27,34,6,9,96,18,71,0,915
1990,20314,YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,D,23,105,138,44,118,0,54,16,189,8,17,60,11,52,0,835
1990,20355,US,US Airways Inc.,US,USAir,A,0,0,0,0,0,0,0,0,46,0,0,0,12,0,0,58
1990,20355,US,US Airways Inc.,US,USAir,D,51,5611,223,9348,5806,0,2371,590,10331,7891,255,2621,252,4048,982,50380
1990,20355,US,US Airways Inc.,US,USAir,L,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26
1990,20379,ZKQ,Zantop International,ZKQ,Zantop International,D,22,167,12,0,575,0,14,0,0,151,4,48,0,249,0,1244
1990,20414,OW,Executive Airlines,NA,Executive Airlines,D,12,121,0,37,92,0,45,0,93,0,1,31,0,11,0,443
1990,20414,OW,Executive Airlines,NA,Executive Airlines,L,2,0,0,0,0,0,7,0,9,0,0,2,0,0,0,20
1990,20415,NA,North American Airlines,XG,North American Airlines,D,12,121,0,37,92,0,45,0,93,0,1,31,0,11,0,443
1990,20415,NA,North American Airlines,XG,North American Airlines,L,2,0,0,0,0,0,7,0,9,0,0,2,0,0,0,20
1990,20422,SY,Sun Country Airlines d/b/a MN Airlines,SYQ,Sun Country Airlines,D,42,111,90,0,42,0,0,0,0,0,0,0,0,17,0,302
1990,20422,SY,Sun Country Airlines d/b/a MN Airlines,SYQ,Sun Country Airlines,I,2,3,4,0,1,0,0,0,0,0,0,0,0,1,0,11
1991,,,,TCQ,,D,6,9,3,0,27,14,0,0,0,0,0,9,0,6,0,74
1991,,,,WE,,L,13,35,3,0,25,0,43,7,0,100,0,35,31,71,0,363
1991,19385,RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,D,31,24,39,14,56,61,0,0,0,0,3,17,2,32,0,279
1991,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,A,1,295,0,590,307,0,406,7,169,83,26,217,14,160,0,2275
1991,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,D,64,3551,0,4942,3358,0,9904,213,2286,394,321,2846,221,1666,61,29827
1991,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,P,2,1270,0,2700,1164,0,1526,79,1246,436,117,1210,124,1018,88,10980
1991,19392,RIQ,Rich International Airways,RIQ,Rich International Airways,D,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,4
1991,19392,RIQ,Rich International Airways,RIQ,Rich International Airways,I,9,19,9,33,32,8,0,0,0,0,2,7,0,4,0,123
1991,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,D,508,1099,0,1813,411,0,1316,51,3446,0,22,298,39,245,0,9277
1991,19670,BF (1),Markair Inc.,BF,Markair Inc.,D,71,116,13,66,178,0,24,9,132,182,18,78,65,22,0,974
1991,19678,AQ,Aloha Airlines Inc.,AQ,Aloha Airlines Inc.,D,34,193,209,0,230,0,183,20,443,131,2,111,51,94,214,1915
1991,19687,QX,Horizon Air,QX,Horizon Air,D,5,501,0,115,299,0,76,191,496,39,38,87,107,0,0,1954
1991,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,D,41,221,88,472,394,0,36,42,423,212,8,195,31,269,0,2432
1991,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,P,4,26,6,65,45,0,3,3,5,145,0,6,4,23,0,335
1991,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,A,0,115,0,277,333,0,38,2,108,49,5,29,0,116,0,1072
1991,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,D,66,3252,0,4825,5320,0,1934,90,5423,2489,86,920,0,3665,0,28070
1991,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,L,0,226,0,251,393,0,126,6,352,162,5,43,0,172,0,1736
1991,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,P,0,371,0,887,1044,0,176,8,494,226,16,115,0,457,0,3794
1991,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,A,0,0,0,49,0,0,106,1,468,140,0,23,119,14,0,920
1991,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,D,55,7728,0,14470,7122,0,6904,390,15015,11317,887,3542,735,2285,0,70450
1991,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,L,0,0,0,0,0,0,60,0,134,109,0,11,15,0,0,329
1991,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,P,0,0,0,0,0,0,4,0,35,0,0,0,13,4,0,56
1991,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,A,0,0,0,33,35,0,799,0,422,87,0,161,74,123,0,1734
1991,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,D,56,7565,1541,16407,11690,0,1317,803,17108,13335,414,7312,629,4974,0,83151
1991,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,L,0,0,0,519,105,0,1250,7,601,280,0,167,65,62,0,3056
1991,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,P,0,0,0,6,0,0,49,0,79,12,0,19,24,0,0,189
1991,19874,8C,Air Transport International,8C,Air Transport International,D,7,58,5,5,26,0,0,0,0,0,2,10,0,0,0,113
1991,19874,8C,Air Transport International,8C,Air Transport International,I,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,18
1991,19917,5X,United Parcel Service,5X,United Parcel Service,A,3,43,1,0,33,0,0,0,0,0,0,6,1,5,0,92
1991,19917,5X,United Parcel Service,5X,United Parcel Service,D,78,1129,38,0,874,0,0,0,0,0,0,147,14,145,0,2425
1991,19917,5X,United Parcel Service,5X,United Parcel Service,L,0,7,0,0,5,0,0,0,0,0,1,0,0,1,0,14
