NET_INCOME,OP_PROFIT,OP_REVENUE_SCH_PAX,OP_REVENUE_SCH_OTH,OP_REVENUE_NON_SCH,OP_REVENUE_PUB_SVC,OP_REVENUE_OTHER,OP_REVENUE,OP_EXPENSE_FLYING,OP_EXPENSE_MAINT,OP_EXPENSE_ADMIN,DEPR_PR_EQ_OWNED,DEPR_PR_EQ_LEASED,TRANS_EXPENSE,OP_EXPENSE,NON_OP_INT_EXP,NON_OP_EXP_OTH,TAX,EXTRA_ITEMS,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-51730.39,-45864.14,22377.38,150.76,1031.75,,,23559.89,17631.63,8964.38,40895.01,,1933.01,,69424.03,-3943.82,-1922.43,,,20502,MY,MAXjet,MY,MAXjet,07050,D,4,1,2006,4
-35906.72,-36090.76,8666.54,100.45,1770.25,,,10537.24,11536.50,3676.43,28944.67,2322.26,148.15,,46628.00,184.04,,,,20454,E0,"EOS Airlines, Inc.",E0,"EOS Airlines, Inc.",16211,A,4,1,2006,2
-31695.82,-31892.90,23167.65,731.95,1871.04,,,25770.64,16897.72,4703.61,33256.51,993.53,1812.17,,57663.54,244.18,-47.10,,,20454,E0,"EOS Airlines, Inc.",E0,"EOS Airlines, Inc.",16211,A,4,1,2006,4
-30542.00,-30867.30,1084.91,,,,,1084.91,8283.19,2462.99,19743.12,1050.60,412.31,,31952.21,325.31,,,,20454,E0,"EOS Airlines, Inc.",E0,"EOS Airlines, Inc.",16211,A,4,1,2005,4
-28398.08,-28055.28,15048.34,,2149.89,,,17198.22,15595.33,3423.29,25407.78,,827.11,,45253.50,-235.97,-106.83,,,20502,MY,MAXjet,MY,MAXjet,07050,D,4,1,2006,2
-23838.09,-23600.57,51432.00,1132.98,186.75,0.00,0.00,52751.73,50674.16,8131.66,12340.59,1710.07,3495.84,0.00,76352.31,-237.52,0.00,0.00,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,4,1,2022,2
-21917.13,-21558.45,9101.54,806.24,,,,9907.78,21375.64,5723.90,3695.93,670.75,,,31466.23,35.15,-393.82,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",ZQ,Caribbean Sun Airlines,06077,S,4,1,2006,4
-19339.64,-19233.12,2359.26,0.00,186.75,0.00,0.00,2546.01,5432.87,1554.27,9696.88,475.73,1409.28,3210.08,21779.13,-411.27,304.75,0.00,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,4,1,2021,2
-19153.42,-18794.13,12394.52,,,,526.16,12920.68,22299.06,4339.58,4763.62,312.55,,,31714.81,37.89,-397.17,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",ZQ,Caribbean Sun Airlines,06077,S,4,1,2006,2
-18734.59,-19418.08,18722.93,5.30,5727.47,0.00,0.00,24455.70,23215.20,4763.50,11776.04,1754.81,2364.24,0.00,43873.78,-366.42,1049.92,0.00,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,4,1,2021,4
-18321.00,1323.00,82139.00,,,3175.00,,85314.00,29143.00,11940.00,31900.00,,,11008.00,83991.00,-599.00,240.00,13.00,-19272.00,20297,JI (1),Midway Airlines Inc.,JI,Midway Airlines Inc.,06693,D,2,2,1995,4
-18123.57,-18112.52,4999.07,1730.11,,,,6729.17,11029.14,3559.91,10252.64,,,,24841.69,,-11.05,,,20164,ZA,Accessair Holdings,ZA,Accessair Holdings,06000,D,1,1,1999,4
-17268.27,-16915.26,9257.60,617.13,,,317.23,10191.96,18485.10,4982.03,3253.13,386.96,,,27107.22,41.90,-394.91,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",ZQ,Caribbean Sun Airlines,06077,S,4,1,2005,4
-16258.63,-16195.14,31390.60,2251.55,,,161.90,33804.05,17828.01,9530.64,21765.95,408.87,465.71,,49999.19,-63.48,,,,20192,NJ,Vanguard Airlines Inc.,NJ,Vanguard Airlines Inc.,06914,D,1,1,1996,4
-16229.62,-16552.66,15139.95,416.03,1995.06,,5985.17,23536.20,2606.34,986.90,2324.52,897.35,,33273.75,40088.86,323.04,,,,20387,PN,Pan American Airways Corp.,PN,Pan American Airways Corp.,06749,S,1,1,2000,4
-16209.10,-15752.99,4266.92,,5503.45,,,9770.37,11403.26,3570.07,10148.75,401.29,,,25523.36,-460.31,4.20,,,20420,RL,UltrAir,RL,Airline Of The Americas,06037,S,1,1,1993,2
-15983.49,-14698.25,21145.20,,,,,21145.20,15405.26,4207.10,14821.33,1409.76,,,35843.45,-1298.96,13.72,,,20347,P9,Pro Air Inc.,P9,Pro Air Inc.,06769,D,4,1,1999,4
-15898.45,-16124.12,27269.72,837.02,6707.99,,745.33,35560.07,2012.10,787.30,1787.15,570.87,,46526.77,51684.19,225.67,,,,20387,PN,Pan American Airways Corp.,PN,Pan American Airways Corp.,06749,S,1,1,2001,4
-14443.82,-14070.92,5915.56,1734.49,,,145.41,7795.46,14408.22,4181.48,2962.29,314.40,,,21866.39,0.00,-372.90,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",ZQ,Caribbean Sun Airlines,06077,S,4,1,2004,4
-13064.99,-12701.80,6492.20,2553.36,,,254.60,9300.15,15780.88,2864.34,2972.49,384.23,,,22001.95,29.93,-393.13,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",ZQ,Caribbean Sun Airlines,06077,S,4,1,2005,2
-12190.23,-11045.47,19281.44,,,,,19281.44,12893.62,3047.09,12994.13,1392.07,,,30326.91,-1138.36,-6.40,,,20347,P9,Pro Air Inc.,P9,Pro Air Inc.,06769,D,4,1,1999,2
-12070.10,-11978.63,5416.05,237.73,,,,5653.78,7737.48,2550.77,7344.16,,,,17632.41,,-91.48,,,20164,ZA,Accessair Holdings,ZA,Accessair Holdings,06000,D,1,1,1999,2
-11951.52,-11913.59,14091.48,141.49,1814.16,,,16047.12,9289.93,5846.17,10969.81,,1854.80,,27960.71,-138.55,100.62,,,20099,6F (1),Laker Airways Inc.,6F,Laker Airways Inc.,06696,S,1,1,1997,2
-11768.00,-8107.00,,,1024.00,,,1024.00,4416.00,1074.00,3427.00,214.00,,,9131.00,-4062.00,401.00,,,20218,JKQ,Express One International Inc.,JKQ,Express One International Inc.,06682,D,4,1,2002,2
-11693.80,-6599.11,2214.10,,,,164.05,2378.15,2681.38,1705.15,4267.39,323.33,,,8977.26,-481.25,-4612.90,0.54,,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06852,S,4,1,2002,2
-11690.58,-9193.60,,,13681.15,,,13681.15,10006.76,5506.28,4945.12,1527.85,888.73,,22874.75,-2285.42,-211.57,,,20405,N8,National Air Cargo Group Inc d/ba National Airlines,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",07029,D,1,1,2011,2
-11573.71,-9812.35,6143.57,,364.66,,,6508.22,6008.18,2591.34,7081.18,639.87,,,16320.57,-773.99,-987.38,,,20420,RL,UltrAir,RL,UltrAir,06037,S,1,1,1993,4
-11545.16,-11294.75,0.00,0.00,33821.99,0.00,0.00,33821.99,18402.07,12336.05,9560.31,57.91,45.31,4715.09,45116.74,-250.41,0.00,0.00,0.00,22085,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",01227,S,4,1,2022,2
-11328.60,-11298.85,6850.69,8.60,2807.07,,510.87,10177.23,12609.11,3050.85,5207.24,608.89,,,21476.08,-0.71,-29.04,,,20335,E9 (1),Boston-Maine Airways,E9,Boston-Maine Airways,06951,D,4,1,2005,4
-11107.24,-10306.90,87132.47,223.86,12568.32,0.00,0.00,99924.64,77579.95,10722.59,13558.22,1560.34,6810.44,0.00,110231.54,-998.42,198.07,0.00,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,4,1,2022,4
-11035.35,-10863.53,11898.14,,,,280.11,12178.25,10238.74,2049.20,10480.09,263.43,,10.33,23041.79,-161.32,-10.50,,,20297,JI (1),Midway Airlines Inc.,JI,Midway Airlines Inc.,06693,D,2,2,1994,2
-11020.39,588.29,,,51572.83,,7485.54,59058.37,12296.21,10262.25,29337.77,594.97,,5978.88,58470.08,-2723.11,1114.43,,-10000.00,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06911 (1),S,4,1,1996,4
-10899.36,-7765.78,2496.27,53.81,,,,2550.08,4198.27,604.99,5332.85,,179.74,,10315.85,-400.68,-20.32,,-2712.59,20094,LF (1),Jettrain Airlines,LF,Jettrain Airlines,06680,D,1,1,1996,4
-10891.34,-10054.77,,,12313.08,,,12313.08,15015.78,2916.98,4400.36,,34.72,,22367.85,-446.29,-390.29,,,20147,T9,TransMeridian Airlines,T9,TransMeridian Airlines,06885,S,4,1,1997,4
-10773.30,-8772.21,,,24743.52,,,24743.52,14278.44,7066.93,9593.59,1368.33,1208.44,,33515.73,-2137.03,135.94,,,20405,N8,National Air Cargo Group Inc d/ba National Airlines,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",07029,D,4,1,2010,4
-10621.57,-10545.50,18073.50,,,,1263.46,19336.96,12074.63,2674.23,14735.92,64.41,316.74,16.52,29882.46,-151.79,75.72,,,20297,JI (1),Midway Airlines Inc.,JI,Midway Airlines Inc.,06693,D,2,2,1994,4
-10195.60,-8321.96,2376.40,,,,45.80,2422.20,2771.22,813.48,4346.02,,340.00,2473.45,10744.16,-203.01,-1670.63,,,20502,MY,MAXjet,MY,MAXjet,07050,D,4,1,2005,4
