YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
1990,1,19385,RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,1,1,251,65,316,284
1990,1,19386,NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,3,3,38152,1862,40014,39083
1990,1,19392,RIQ,Rich International Airways,RIQ,Rich International Airways,1,1,64,3,67,66
1990,1,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3,6997,832,7829,7413
1990,1,19610,OD,Emerald Airlines Inc.,OD,Emerald Airlines Inc.,1,1,140,21,161,151
1990,1,19647,JIQ,Jet Fleet Intl. Airlines,JIQ,Jet Fleet Intl. Airlines,1,1,0,10,10,5
1990,1,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,1,4,67,3,70,69
1990,1,19670,BF,Markair Inc.,BF,Markair Inc.,2,2,633,93,726,680
1990,1,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,1,1,167,1,168,168
1990,1,19678,AQ,Aloha Airlines Inc.,AQ,Aloha Airlines Inc.,2,2,1358,398,1756,1557
1990,1,19684,INQ,Independent Air Inc.,INQ,Independent Air Inc.,1,1,62,4,66,64
1990,1,19685,TPQ,Aerial Transit Company,TPQ,Aerial Transit Company,1,1,51,21,72,62
1990,1,19687,QX,Horizon Air,QX,Horizon Air,2,2,1542,163,1705,1624
1990,1,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,2,2,2416,477,2893,2655
1990,1,19704,CO,Continental Air Lines Inc.,CO,Continental Air Lines Inc.,3,3,29743,3630,33373,31558
1990,1,19707,EA,Eastern Air Lines Inc.,EA,Eastern Air Lines Inc.,3,3,18664,2436,21100,19882
1990,1,19787,FDQ,Great American Airways,FDQ,Great American Airways,1,1,25,5,30,28
1990,1,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3,56340,4226,60566,58453
1990,1,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3,68137,9039,77176,72657
1990,1,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,1,1,42,15,57,50
1990,1,19828,GM,Air America,GM,Air America,1,1,174,7,181,178
1990,1,19874,8C,Air Transport International,8C,Air Transport International,2,2,108,4,112,110
1990,1,19917,5X,United Parcel Service,5X,United Parcel Service,3,3,2410,221,2631,2521
1990,1,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3,4993,714,5707,5350
1990,1,19950,9R,Flagship Express Services,9R,Rosenbalm Aviation Inc.,1,1,498,44,542,520
1990,1,19952,KW,Carnival Air Lines Inc.,KW,Pacific Interstate Airlines,1,1,104,11,115,110
1990,1,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3,65664,5457,71121,68393
1990,1,19982,TB (1),USAir Shuttle,TB,Trump Shuttle,2,2,1023,57,1080,1052
1990,1,19983,ZN,Key Airlines Inc.,KEQ,Key Airlines Inc.,1,1,263,26,289,276
1990,1,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,3,3,8824,2138,10962,9893
1990,1,20019,5J,Private Jet Expeditions,PJQ,Private Jet Expeditions,2,2,23,1,24,24
1990,1,20042,SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,2,2,752,101,853,803
1990,1,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Inc.,2,2,1352,43,1395,1374
1990,1,20057,EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2,2,605,8,613,609
1990,1,20084,APN,Aspen Airways Inc.,AP,Aspen Airways Inc.,1,1,491,183,674,583
1990,1,20088,FF,Tower Air Inc.,FF,Tower Air Inc.,2,2,454,9,463,459
1990,1,20095,WO,World Airways Inc.,WO,World Airways Inc.,2,2,526,27,553,540
1990,1,20107,FX,Federal Express Corporation,FM,Federal Express Corporation,3,3,61305,23580,84885,73095
1990,1,20108,NC,Northern Air Cargo Inc.,HU,Northern Air Cargo Inc.,1,1,213,20,233,223
1990,1,20149,PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,1,4,296,96,392,344
1990,1,20151,M6,Amerijet International,JH,Amerijet International,1,1,142,58,200,171
1990,1,20173,CDQ,Kitty Hawk International,CDQ,Connie Kalitta Services,1,4,395,95,490,443
1990,1,20194,JW,Arrow Air Inc.,JW,Arrow Air Inc.,1,1,210,4,214,212
1990,1,20204,MG,Champion Air,MG,MGM Grand Air Inc.,1,1,174,7,181,178
1990,1,20207,XP,Casino Express,CXQ,Casino Express,1,4,48,0,48,48
1990,1,20211,TW,Trans World Airways LLC,TW,Trans World Airlines Inc.,3,3,32147,2518,34665,33406
1990,1,20218,JKQ,Express One International Inc.,JKQ,Express One International Inc.,1,1,214,0,214,214
1990,1,20235,4S (1),Conner Air Lines Inc.,CRQ,Conner Air Lines Inc.,1,1,5,2,7,6
