PILOTEXPENSE,AIRCRAFT_FUEL,OTHER_EXPENSES,TOTAL_DIRECT_LESS_RENT,MAINTENANCE,DEPAND_RENTAL,TOTAL_DIRECT,FLIGHT_ATTENDANTS,TRAFFIC,DEPARTURE,CAPACITY,TOTAL_INDIRECT,TOTAL_OP_EXPENSE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,,,,0.01,0.00,5.51,9,9,999,21645,23Q,Songbird Airways Inc.,23Q,Sky King Inc.,11044,I,1,1,2015,1
,,,,,,,,,,,,,0.02,0.02,17.99,9,9,999,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,1,1,2013,3
,,,,,,,,,,,,,0.03,0.02,20.37,9,9,999,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,11034,L,1,1,2013,3
,,,,,,,,,,,,,0.07,0.02,11.27,9,9,999,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,1,1,2013,4
,,,,,,,,,,,,,0.07,0.04,72.03,9,9,999,21645,23Q,Songbird Airways Inc.,23Q,Songbird Airways Inc.,11044,I,1,1,2015,3
,,,,,,,,,,,,,0.11,0.02,248.59,9,9,999,21645,23Q,Songbird Airways Inc.,23Q,Songbird Airways Inc.,01192,D,1,1,2015,3
,,,,,,,,,,,,,0.12,0.05,124.61,9,9,999,21645,23Q,Songbird Airways Inc.,23Q,Songbird Airways Inc.,01192,D,1,1,2015,4
,,,,,,,,,,,,,0.13,0.05,128.86,9,9,999,21645,23Q,Songbird Airways Inc.,23Q,Songbird Airways Inc.,11044,I,1,1,2015,4
,,,,,,,,,,,,,0.17,0.09,150.44,9,9,999,21645,23Q,Songbird Airways Inc.,23Q,Sky King Inc.,01192,D,1,1,2015,1
,,,,,,,,,,,,,0.19,0.07,31.54,9,9,999,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,11034,L,1,1,2013,4
