CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
5000.0,1789.23,0.0,21053.68,3292.98,17760.7,11106.49,7418.74,1349.98,39425.14,431.18,3178.79,1128.54,4738.5,52295.59,10503.49,26620.43,36178.65,0.0,2999.51,2415.14,1760.66,452.62,38593.79,30093.25,5268.88,24824.37,395.88,0.0,1082.51,1478.38,109060.19,950.1,0.0,0.0,113136.41,1755.09,270.84,2676.41,4986.0,3029.81,976.14,0.0,47374.15,30835.67,203964.68,5175.0,31156.17,11025.73,460.67,22069.3,69426.19,7349.2,0.0,3110.96,3110.96,0.0,0.0,5751.13,0.0,5751.13,3223.31,8974.44,-176416.09,-167441.65,0.0,-167441.65,109060.19,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,2.0,2.0,1992,4
5000.0,2702.01,0.0,21036.7,3186.49,17850.21,10582.61,5818.82,-845.72,36107.93,474.19,3211.18,1319.0,5004.37,47294.73,10519.64,23046.04,34768.32,0.0,2999.51,4540.96,1760.66,452.62,39309.28,30093.25,5268.88,24824.37,400.3,0.0,2933.39,3333.69,108579.63,950.1,3375.0,0.0,124665.28,1755.09,270.84,2289.9,4939.16,3091.31,1072.31,0.0,43344.8,27822.71,211550.55,1600.0,30930.62,11623.81,460.67,22680.34,66834.78,7349.2,0.0,2946.4,2946.4,0.0,0.0,5751.13,0.0,5751.13,3223.31,8974.44,-181726.53,-172752.09,0.0,-172752.09,108579.63,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,2.0,2.0,1993,1
5000.0,5264.59,0.0,19243.57,2589.07,16654.5,11490.72,6825.3,1369.61,41604.72,441.93,3002.47,1520.96,4965.36,57680.28,11059.96,22253.89,46486.35,0.0,2999.51,2899.62,1760.66,452.62,49385.97,587.83,587.83,0.0,8753.88,0.0,3355.84,12109.72,108065.77,44542.46,0.0,0.0,77086.51,1755.09,270.84,2618.42,4918.22,9623.98,1134.08,0.0,48900.1,8790.25,197614.02,2772.08,85139.51,8655.95,460.67,22648.19,119215.74,7349.2,0.0,359.66,359.66,0.0,0.0,5751.13,0.0,5751.13,3223.31,8974.44,-218098.08,-209123.64,0.0,-209123.64,108065.77,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,2.0,2.0,1992,3
5000.0,5604.32,0.0,24148.56,2974.02,21174.54,10615.33,6671.32,853.67,44919.18,349.06,3232.32,1463.15,5044.54,56051.6,10827.39,20156.91,46722.09,0.0,2999.51,2726.07,1760.66,452.62,49448.15,12975.12,3691.15,9283.96,9284.21,0.0,3648.04,12932.26,121628.09,55372.9,0.0,0.0,98368.79,5702.97,7224.56,2481.98,4467.27,705.67,1090.12,0.0,52336.48,8465.41,235510.48,823.84,86101.45,7417.45,460.67,27111.24,121453.98,7349.2,0.0,382.81,382.81,0.0,0.0,5751.13,0.0,5751.13,3223.31,8974.44,-244693.62,-235719.18,0.0,-235719.18,121628.09,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,2.0,2.0,1992,2
-89196.0,2861864.0,18478.0,237519.0,3642.0,252355.0,227423.0,96663.0,1936.78,3349109.0,1.0,0.0,0.0,1563.055,13656217.0,1563746.0,5245225.0,9974738.0,28672.0,233812.0,372814.0,167643.0,156279.0,10621400.0,253.9,0.0,0.0,519.76,0.0,268820.0,268820.0,14239329.0,157827.0,0.0,0.0,97550.0,217863.0,12010.0,92897.0,193442.0,30846.0,68040.0,0.0,1400111.0,647029.0,2917615.0,3304695.0,0.0,0.0,25956.0,6538.775,3330651.0,1959257.0,0.0,496033.0,2455290.0,0.0,0.0,807612.0,0.0,807612.0,1218627.0,2026239.0,4454591.0,6480830.0,945057.0,5535773.0,14239329.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3.0,3.0,2010,1
-77105.0,1567782.0,2837.0,88343.0,8135.0,83045.0,77235.0,80110.0,28191.0,1759258.0,8307.0,0.0,0.0,8307.0,7134466.0,758718.0,2289527.0,5603657.0,27588.0,402180.0,96997.0,182564.0,105763.0,6207223.0,253.9,0.0,0.0,1725.0,0.0,30038.0,31763.0,8006551.0,481665.0,0.0,0.0,92508.0,166083.0,8489.0,44740.0,80980.0,10529.0,86907.0,0.0,522084.0,445360.0,1939345.0,649840.0,0.0,0.0,101776.0,22641.0,774257.0,1063933.0,0.0,279356.0,1343289.0,0.0,0.0,764607.0,0.0,764607.0,15352.0,779959.0,3169701.0,3949660.0,0.0,3949660.0,8006551.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3.0,3.0,2001,3
-62640.0,1584937.0,-5892.0,1886134.0,21817.0,1858425.0,323005.0,256017.0,27424.0,3987168.0,970632.0,1016369.0,904885.0,2891886.0,15325991.0,3771972.0,5142521.0,13955442.0,8477.0,167704.0,260896.0,2625346.0,502019.0,16515846.0,472557.0,316241.0,156316.0,64289.0,0.0,1759112.0,1823401.0,25374617.0,1269318.0,0.0,0.0,535045.0,152238.0,213833.0,514590.0,383962.0,199709.0,83547.0,0.0,1351815.0,2263531.0,6967588.0,7097980.0,55348.0,2249715.0,1844500.0,3363264.0,14610807.0,7349.2,0.0,768631.0,768631.0,0.0,0.0,3.0,0.0,5.0,5228551.0,5228551.0,-2200960.0,3027591.0,0.0,3027591.0,25374617.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3.0,3.0,2002,3
-61204.0,2314850.0,18755.0,227674.0,4144.0,242285.0,195890.0,88897.0,1936.78,2780718.0,1.0,0.0,0.0,1563.055,13592963.0,1501971.0,5014993.0,10079941.0,28672.0,233371.0,339762.0,167643.0,151211.0,10698178.0,253.9,0.0,0.0,519.76,0.0,256310.0,256310.0,13735206.0,183353.0,0.0,0.0,126723.0,172023.0,14293.0,171917.0,184484.0,37766.0,53194.0,0.0,1213889.0,866264.0,3023906.0,3366948.0,0.0,0.0,11320.0,24149.0,3402417.0,1582127.0,0.0,509542.0,2091669.0,0.0,0.0,807612.0,0.0,807612.0,1226029.0,2033641.0,4161433.0,6195074.0,977860.0,5217214.0,13735206.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3.0,3.0,2009,3
-49545.0,5888216.0,39391.0,258549.0,7264.0,290676.0,301018.0,2537845.0,1936.78,8968210.0,1.0,0.0,0.0,1563.055,13546153.0,1402378.0,4412937.0,10535594.0,28192.0,415671.0,160298.0,167998.0,138281.0,11169472.0,253.9,0.0,0.0,2833663.0,0.0,290815.0,3124478.0,23262160.0,57120.0,0.0,0.0,419521.0,201659.0,13954.0,86778.0,170819.0,34324.0,142307.0,0.0,1303296.0,5944427.0,8374205.0,2564044.0,0.0,0.0,26373.0,28932.0,2619349.0,3192663.0,0.0,346013.0,3538676.0,0.0,0.0,807612.0,0.0,807612.0,1216185.0,2023797.0,7822277.0,9846074.0,1116144.0,8729930.0,23262160.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3.0,3.0,2008,2
-48421.0,1993669.0,2807.0,124677.0,5063.0,122421.0,78613.0,176265.0,46441.0,2368988.0,7836.0,0.0,0.0,7836.0,7711409.0,874878.0,2604065.0,5982222.0,28202.0,318625.0,121872.0,182938.0,114556.0,6519303.0,253.9,0.0,0.0,42422.0,0.0,28642.0,71064.0,8967191.0,20604.0,0.0,0.0,97150.0,115199.0,9421.0,63686.0,91600.0,25335.0,51399.0,0.0,497040.0,481357.0,1452791.0,1568565.0,0.0,0.0,92342.0,24585.0,1685492.0,1232760.0,0.0,273366.0,1506126.0,0.0,0.0,774033.0,0.0,774033.0,83819.0,857852.0,3464930.0,4322782.0,0.0,4322782.0,8967191.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3.0,3.0,2002,3
